condition,run,mean_rho_target,mean_rho_margin,accuracy,n_trials,mean_band1_target,mean_band2_target,mean_band3_target,ITR
blue_yellow,1,0.8358458350597033,-0.1649921346736694,0.109375,64,0.5774758655618983,0.5600702116680352,0.6102458004336768,4.482051226360628
blue_yellow,2,0.8387502100456269,-0.17901823981298678,0.07936507936507936,63,0.5758972994344146,0.5637346879924205,0.6131171328881444,1.9527912769067068
blue_yellow,3,0.8649864197484571,-0.1970481555257717,0.109375,64,0.5850184204384486,0.5746286858506079,0.6228372449505281,4.482051226360628
blue_yellow,4,0.8876294407602175,-0.17354314640634214,0.09375,64,0.5947258761070876,0.5809987317440916,0.6291541907334812,3.06975524944324
blue_yellow,5,0.8547453727252954,-0.18069246836049538,0.09375,64,0.5847703470568822,0.5794719120171161,0.6008785417244036,3.06975524944324
normal,1,0.834293733340068,-0.20734330429010228,0.0625,64,0.5683130741518644,0.5694555555618092,0.6162371059524399,0.9075446197645665
normal,2,0.8439436210187264,-0.1842104982969333,0.1111111111111111,63,0.5744699218693112,0.5681937366053522,0.6088924770090873,4.650580577356589
normal,3,0.8104407460590914,-0.19827042671959716,0.0625,64,0.5668145500644016,0.5557447851076944,0.6019698122149975,0.9075446197645665
normal,4,0.8106476660650768,-0.1770725481629686,0.046875,64,0.5697014419737019,0.551333040473429,0.6002993467613729,0.2530391874219884
normal,5,0.7973267936831774,-0.182665438994235,0.0625,64,0.5596799955982428,0.5478428133679712,0.6132825542986196,0.9075446197645665
red_green,1,0.8309831798321289,-0.11682627681796547,0.07142857142857142,28,0.564030890761604,0.5774587422747185,0.6178163510722483,1.4221263999941502
red_green,2,0.9006917395485735,-0.14909264676883655,0.125,64,0.6102015979890644,0.569276791821713,0.6124837998493688,6.075689260594386
red_green,3,0.8075146836754806,-0.16448857866826913,0.0625,64,0.5662500351282557,0.5508038665382351,0.6011432225143384,0.9075446197645665
red_green,4,0.826770741184426,-0.20301607611491873,0.078125,64,0.5799124669671191,0.5474478127464021,0.6035207665429302,1.8656234952810546
red_green,5,0.8272187935770918,-0.19302652301430617,0.03125,64,0.5725806647121402,0.5568743026063805,0.6132292214705758,0.0
